Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            3    8    8    8    7    3    10   9    7    5    
Vardas2             Pavarde2            8    3    3    8    9    10   4    3    8    8    
Vardas3             Pavarde3            4    9    9    9    3    6    6    5    1    3    
Vardas4             Pavarde4            9    1    4    8    6    4    8    10   10   1    
Vardas5             Pavarde5            3    9    10   8    7    1    4    6    10   6    
Vardas6             Pavarde6            5    1    5    10   3    5    7    9    5    8    
Vardas7             Pavarde7            6    5    4    2    7    4    8    7    1    6    
Vardas8             Pavarde8            8    9    8    4    7    10   5    3    8    8    
Vardas9             Pavarde9            1    5    1    2    9    9    10   4    5    9    
Vardas10            Pavarde10           2    10   4    8    7    7    5    8    7    3    
Vardas11            Pavarde11           2    2    9    7    7    3    10   5    10   4    
Vardas12            Pavarde12           3    6    1    6    1    1    6    6    9    5    
Vardas13            Pavarde13           5    7    3    2    5    7    3    5    7    9    
Vardas14            Pavarde14           4    1    9    10   1    7    8    1    10   7    
Vardas15            Pavarde15           2    8    4    10   5    8    7    9    3    8    
Vardas16            Pavarde16           1    4    5    8    6    8    10   9    3    7    
Vardas17            Pavarde17           7    10   8    9    6    9    3    8    9    5    
Vardas18            Pavarde18           8    9    9    1    2    1    1    3    8    1    
Vardas19            Pavarde19           5    2    10   1    3    2    8    3    10   7    
Vardas20            Pavarde20           8    1    1    1    4    6    7    3    9    6    
Vardas21            Pavarde21           4    10   8    9    1    10   8    1    5    8    
Vardas22            Pavarde22           1    1    6    7    2    6    2    8    3    9    
Vardas23            Pavarde23           5    7    4    3    7    8    8    6    4    5    
Vardas24            Pavarde24           4    2    4    1    4    6    9    10   6    5    
Vardas25            Pavarde25           3    2    4    4    2    8    2    3    2    7    
Vardas26            Pavarde26           5    5    9    10   1    10   6    2    10   6    
Vardas27            Pavarde27           9    9    1    3    4    1    3    7    6    10   
Vardas28            Pavarde28           2    10   2    2    9    2    1    1    9    4    
Vardas29            Pavarde29           3    4    2    1    4    2    6    2    4    7    
Vardas30            Pavarde30           1    6    6    6    6    5    6    6    4    2    
Vardas31            Pavarde31           10   1    10   2    7    5    7    1    6    7    
Vardas32            Pavarde32           10   7    2    10   5    8    7    10   8    8    
Vardas33            Pavarde33           9    8    8    8    8    9    8    9    6    3    
Vardas34            Pavarde34           7    3    3    7    6    2    8    4    9    3    
Vardas35            Pavarde35           5    10   1    7    6    8    7    4    5    8    
Vardas36            Pavarde36           9    3    6    4    7    6    2    5    1    3    
Vardas37            Pavarde37           2    6    9    4    7    8    2    9    1    9    
Vardas38            Pavarde38           10   2    4    3    7    2    5    7    4    8    
Vardas39            Pavarde39           3    1    4    10   7    6    1    4    2    3    
Vardas40            Pavarde40           8    2    5    5    7    3    7    1    4    8    
Vardas41            Pavarde41           4    5    4    3    2    8    9    3    1    8    
Vardas42            Pavarde42           6    2    6    2    8    4    5    7    2    3    
Vardas43            Pavarde43           10   7    2    4    4    7    1    5    1    10   
Vardas44            Pavarde44           2    8    8    2    6    6    5    2    7    5    
Vardas45            Pavarde45           1    6    7    1    5    5    3    3    3    8    
Vardas46            Pavarde46           9    3    1    6    7    10   9    1    5    10   
Vardas47            Pavarde47           3    2    10   9    8    8    5    6    10   8    
Vardas48            Pavarde48           6    6    5    3    8    5    1    9    1    4    
Vardas49            Pavarde49           8    2    7    3    5    2    2    3    10   4    
Vardas50            Pavarde50           6    2    6    6    8    6    6    4    7    7    
