Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            6    4    8    5    10   6    6    1    8    5    
Vardas2             Pavarde2            10   6    10   8    10   8    6    10   7    10   
Vardas3             Pavarde3            10   9    2    3    9    2    2    5    2    5    
Vardas4             Pavarde4            2    7    5    2    4    1    3    4    1    10   
Vardas5             Pavarde5            10   2    10   4    5    3    1    10   10   5    
Vardas6             Pavarde6            4    4    6    8    2    10   4    6    6    6    
Vardas7             Pavarde7            10   6    10   10   7    4    3    1    10   1    
Vardas8             Pavarde8            4    3    2    8    4    2    2    10   10   10   
Vardas9             Pavarde9            7    5    2    5    1    8    8    8    3    10   
Vardas10            Pavarde10           3    6    7    8    2    2    6    6    1    4    
Vardas11            Pavarde11           10   1    3    1    9    1    1    7    5    2    
Vardas12            Pavarde12           2    1    3    6    3    1    8    7    7    6    
Vardas13            Pavarde13           1    6    6    4    4    6    3    2    2    8    
Vardas14            Pavarde14           1    3    9    4    5    6    10   3    7    4    
Vardas15            Pavarde15           6    5    2    3    1    4    3    8    4    5    
Vardas16            Pavarde16           2    9    7    5    1    9    10   1    8    1    
Vardas17            Pavarde17           6    4    5    10   8    6    10   9    5    5    
Vardas18            Pavarde18           2    10   1    4    7    9    9    1    6    6    
Vardas19            Pavarde19           7    2    6    10   1    10   2    7    7    9    
Vardas20            Pavarde20           6    2    9    1    9    2    2    9    6    3    
Vardas21            Pavarde21           4    1    10   8    2    10   7    3    4    2    
Vardas22            Pavarde22           8    2    4    7    2    10   9    5    6    5    
Vardas23            Pavarde23           10   6    2    8    8    7    2    8    9    8    
Vardas24            Pavarde24           10   9    4    8    2    3    1    1    10   7    
Vardas25            Pavarde25           3    1    2    10   8    10   4    9    4    9    
Vardas26            Pavarde26           5    7    2    2    1    2    1    4    9    5    
Vardas27            Pavarde27           5    1    4    2    4    3    3    4    2    9    
Vardas28            Pavarde28           2    10   6    2    9    5    9    1    10   4    
Vardas29            Pavarde29           3    8    10   1    3    5    4    1    3    4    
Vardas30            Pavarde30           4    10   5    6    8    9    4    2    7    7    
Vardas31            Pavarde31           5    7    9    5    8    7    9    1    7    6    
Vardas32            Pavarde32           10   6    3    4    3    4    6    8    10   7    
Vardas33            Pavarde33           4    1    1    1    4    9    7    1    1    1    
Vardas34            Pavarde34           6    7    10   1    5    7    2    2    4    1    
Vardas35            Pavarde35           9    9    1    2    1    3    4    7    8    2    
Vardas36            Pavarde36           10   5    4    7    1    1    1    10   8    8    
Vardas37            Pavarde37           8    6    7    9    1    2    2    7    10   1    
Vardas38            Pavarde38           9    5    8    6    8    7    5    3    8    6    
Vardas39            Pavarde39           1    3    8    8    5    6    4    2    5    5    
Vardas40            Pavarde40           6    3    7    5    4    8    2    4    8    1    
Vardas41            Pavarde41           1    2    10   7    7    5    7    6    7    7    
Vardas42            Pavarde42           5    2    1    4    6    7    8    8    2    1    
Vardas43            Pavarde43           10   10   5    7    1    1    9    4    8    4    
Vardas44            Pavarde44           9    3    10   6    5    4    7    8    6    6    
Vardas45            Pavarde45           10   7    6    5    9    7    3    9    9    10   
Vardas46            Pavarde46           1    6    4    5    5    7    4    10   1    3    
Vardas47            Pavarde47           6    2    8    2    5    3    5    8    4    3    
Vardas48            Pavarde48           7    10   1    6    7    6    2    8    5    9    
Vardas49            Pavarde49           6    8    2    2    6    7    8    2    3    10   
Vardas50            Pavarde50           4    9    4    10   4    8    7    3    2    4    
Vardas51            Pavarde51           4    7    1    9    8    9    2    1    7    1    
Vardas52            Pavarde52           4    2    2    9    8    6    5    8    4    9    
Vardas53            Pavarde53           1    3    4    10   9    4    2    6    7    2    
Vardas54            Pavarde54           1    2    2    8    2    7    8    8    10   7    
Vardas55            Pavarde55           7    2    1    10   10   4    9    8    1    9    
Vardas56            Pavarde56           9    3    2    7    6    7    2    9    6    1    
Vardas57            Pavarde57           3    6    6    5    9    9    8    3    10   5    
Vardas58            Pavarde58           9    9    6    2    4    4    6    3    7    6    
Vardas59            Pavarde59           7    9    1    3    1    8    10   6    5    1    
Vardas60            Pavarde60           8    8    9    9    9    4    3    1    6    8    
