Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            9    2    7    9    7    2    4    2    2    2    
Vardas2             Pavarde2            4    2    8    1    10   6    7    10   2    4    
Vardas3             Pavarde3            10   1    7    3    9    7    3    8    2    1    
Vardas4             Pavarde4            7    7    8    10   5    7    8    5    8    1    
Vardas5             Pavarde5            4    3    9    7    9    3    10   10   7    10   
Vardas6             Pavarde6            4    10   3    6    2    6    3    7    5    10   
Vardas7             Pavarde7            5    1    3    10   6    1    8    1    10   5    
Vardas8             Pavarde8            2    8    9    1    9    4    4    3    9    4    
Vardas9             Pavarde9            5    4    10   4    7    2    4    7    7    3    
Vardas10            Pavarde10           6    1    4    5    7    3    7    5    7    2    
Vardas11            Pavarde11           1    2    9    3    3    7    1    8    7    3    
Vardas12            Pavarde12           2    6    7    8    5    7    1    1    10   9    
Vardas13            Pavarde13           5    5    10   10   2    3    6    5    5    5    
Vardas14            Pavarde14           7    9    4    8    9    5    4    9    10   9    
Vardas15            Pavarde15           4    8    8    3    7    4    7    5    10   3    
Vardas16            Pavarde16           1    7    9    5    5    2    4    2    3    7    
Vardas17            Pavarde17           4    10   1    1    8    4    7    1    6    9    
Vardas18            Pavarde18           2    1    5    4    3    8    1    10   9    8    
Vardas19            Pavarde19           2    8    5    1    1    5    5    3    9    9    
Vardas20            Pavarde20           5    9    6    4    10   2    3    2    1    8    
Vardas21            Pavarde21           6    2    7    9    10   9    6    5    2    8    
Vardas22            Pavarde22           4    7    6    10   9    4    2    5    4    5    
Vardas23            Pavarde23           2    6    7    1    5    9    6    7    8    4    
Vardas24            Pavarde24           9    1    2    10   5    2    9    4    7    4    
Vardas25            Pavarde25           3    4    7    5    8    1    5    9    5    10   
Vardas26            Pavarde26           3    9    5    1    7    10   7    7    5    3    
Vardas27            Pavarde27           9    1    7    6    5    2    9    3    4    8    
Vardas28            Pavarde28           5    10   2    2    7    3    2    4    4    2    
Vardas29            Pavarde29           10   2    1    10   8    2    1    9    1    1    
Vardas30            Pavarde30           1    10   8    7    9    1    1    2    8    2    
Vardas31            Pavarde31           4    5    8    4    8    1    5    8    6    8    
Vardas32            Pavarde32           6    6    8    5    5    8    4    2    2    2    
Vardas33            Pavarde33           3    7    7    6    9    6    8    7    3    6    
