Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            1    3    1    6    3    2    4    4    1    9    
Vardas2             Pavarde2            4    4    7    3    7    4    5    10   7    7    
Vardas3             Pavarde3            4    9    9    6    6    9    7    3    9    8    
Vardas4             Pavarde4            3    4    5    7    2    9    10   1    1    7    
Vardas5             Pavarde5            4    6    10   5    2    4    2    9    9    7    
Vardas6             Pavarde6            3    8    10   10   8    7    1    5    10   4    
Vardas7             Pavarde7            10   4    1    4    3    7    6    4    1    8    
Vardas8             Pavarde8            3    4    8    3    2    1    7    10   10   4    
Vardas9             Pavarde9            2    3    6    2    3    5    8    4    5    2    
Vardas10            Pavarde10           10   6    9    6    4    9    2    6    1    6    
Vardas11            Pavarde11           4    3    9    3    1    1    6    2    4    6    
Vardas12            Pavarde12           1    10   1    9    9    2    5    9    6    3    
Vardas13            Pavarde13           9    7    1    7    4    6    4    1    8    9    
Vardas14            Pavarde14           5    9    6    2    5    1    3    7    6    8    
Vardas15            Pavarde15           6    5    9    6    10   10   3    1    4    6    
Vardas16            Pavarde16           2    9    7    8    10   6    10   8    3    2    
Vardas17            Pavarde17           9    9    5    1    2    10   7    4    4    8    
Vardas18            Pavarde18           9    1    1    9    10   10   5    3    5    3    
Vardas19            Pavarde19           1    7    1    2    3    6    8    10   7    5    
Vardas20            Pavarde20           7    9    5    1    8    10   6    9    6    4    
