Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            7    10   3    8    8    4    5    7    2    7    
Vardas2             Pavarde2            9    6    2    7    6    3    4    10   6    6    
Vardas3             Pavarde3            6    7    9    6    1    10   5    7    6    6    
Vardas4             Pavarde4            9    5    9    8    5    7    5    1    1    9    
Vardas5             Pavarde5            6    7    10   2    10   3    5    4    5    4    
Vardas6             Pavarde6            5    6    7    3    9    3    8    7    1    4    
Vardas7             Pavarde7            10   10   8    4    7    10   5    4    7    1    
Vardas8             Pavarde8            3    7    9    7    5    2    5    1    3    2    
Vardas9             Pavarde9            5    9    2    10   3    6    5    9    9    4    
Vardas10            Pavarde10           10   2    1    6    1    3    10   8    5    4    
Vardas11            Pavarde11           4    7    5    6    7    9    3    6    9    4    
Vardas12            Pavarde12           8    2    10   7    6    2    6    1    8    9    
Vardas13            Pavarde13           2    9    1    4    7    6    10   6    1    1    
Vardas14            Pavarde14           10   5    5    5    5    5    8    3    3    9    
Vardas15            Pavarde15           8    3    1    9    4    9    1    8    5    1    
Vardas16            Pavarde16           5    5    1    9    10   1    3    9    1    6    
Vardas17            Pavarde17           10   5    5    5    8    8    8    7    4    1    
Vardas18            Pavarde18           4    10   7    7    4    1    9    2    1    1    
Vardas19            Pavarde19           2    5    3    4    2    6    2    9    1    10   
Vardas20            Pavarde20           4    6    5    4    3    5    5    4    6    1    
Vardas21            Pavarde21           1    5    5    6    5    9    2    7    1    9    
Vardas22            Pavarde22           7    2    9    2    1    9    5    5    1    6    
Vardas23            Pavarde23           10   7    3    8    1    7    3    6    4    5    
Vardas24            Pavarde24           3    7    7    5    4    1    10   1    5    3    
Vardas25            Pavarde25           6    8    9    9    4    3    3    10   2    10   
Vardas26            Pavarde26           5    7    6    4    3    1    3    2    10   3    
Vardas27            Pavarde27           1    8    5    5    4    5    2    10   5    5    
Vardas28            Pavarde28           6    6    7    7    10   9    8    10   6    4    
Vardas29            Pavarde29           8    9    1    3    10   1    9    1    3    5    
Vardas30            Pavarde30           9    2    7    9    6    2    7    9    7    2    
Vardas31            Pavarde31           10   2    4    1    6    8    10   3    5    3    
Vardas32            Pavarde32           2    10   10   1    4    3    10   3    7    5    
Vardas33            Pavarde33           10   3    5    5    4    5    3    1    4    5    
Vardas34            Pavarde34           10   7    3    6    4    5    2    1    7    7    
