Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 
Vardas1             Pavarde1            5    5    8    6    7    8    10   10   9    2    
Vardas2             Pavarde2            5    8    7    9    2    1    6    8    4    4    
Vardas3             Pavarde3            10   6    5    3    5    6    6    4    3    5    
Vardas4             Pavarde4            4    2    7    4    3    3    2    4    5    9    
Vardas5             Pavarde5            5    10   2    8    3    2    6    5    5    9    
Vardas6             Pavarde6            3    2    1    3    8    1    6    1    7    4    
Vardas7             Pavarde7            8    2    7    9    7    7    5    8    4    6    
Vardas8             Pavarde8            4    7    10   2    1    7    1    5    2    8    
Vardas9             Pavarde9            1    7    5    9    7    7    1    2    1    5    
Vardas10            Pavarde10           1    2    10   4    4    5    10   3    5    10   
